M,J,X,W,P,Q
266,2,0.42999,1.6312,7.8938,2.31E+05
267,1,0.71666,-1.0711,4.4636,6.16E+05
267,2,1.1935,1.3189,7.4153,95700
268,1,-1.07,0.41188,3.8895,2.20E+05
268,2,0.33472,0.15412,4.3075,4.27E+05
269,1,0.73005,0.052032,6.0724,6.50E+05
269,2,-0.98351,0.8776,2.7757,1.90E+05
270,1,0.21863,0.46312,8.536,1.13E+05
270,2,0.79425,-0.61263,5.8163,6.20E+05
271,1,-1.1149,1.0377,3.798,1.30E+05
271,2,0.68525,1.8222,5.633,2.53E+05
272,1,-1.1271,-0.80885,3.117,3.59E+05
272,2,-0.55918,1.161,3.9221,3.53E+05
273,1,0.99311,-0.26113,6.6022,4.09E+05
273,2,0.34639,-0.18471,4.8951,2.82E+05
274,1,2.4739,-0.82248,7.2296,5.46E+05
274,2,0.50392,0.20098,4.1129,3.55E+05
275,1,0.37818,0.66724,7.3354,3.17E+05
275,2,-1.1153,0.79533,4.1246,1.38E+05
276,1,0.052993,1.7725,4.6235,1.50E+05
276,2,-0.17789,-2.5088,5.5009,7.04E+05
277,1,-1.2265,-2.1099,2.5967,2.99E+05
277,2,0.79295,-0.7994,5.5089,5.23E+05
278,1,0.68087,0.21808,7.2571,3.22E+05
278,2,-1.2874,-1.5666,2.2445,3.17E+05
279,1,0.32864,-1.9797,2.7145,2.58E+05
279,2,1.0541,-1.8674,5.911,6.57E+05
280,1,1.499,-1.5868,4.3145,4.90E+05
280,2,0.13779,-1.0191,3.993,4.61E+05
281,1,-0.57711,0.85297,4.1665,2.95E+05
281,2,-0.83643,0.47733,3.4445,4.05E+05
282,1,0.54161,-1.0719,4.9096,6.33E+05
282,2,-0.82113,-1.0741,3.0954,2.85E+05
283,1,0.25194,0.76098,5.6873,3.04E+05
283,2,-0.61038,0.25443,3.6693,2.72E+05
284,1,0.46931,0.92099,5.6196,2.54E+05
284,2,-0.23978,-0.90688,4.6197,5.86E+05
285,1,1.9434,0.44162,9.8264,1.65E+05
285,2,-0.24692,-0.80361,4.4766,5.19E+05
286,1,1.2046,0.20556,7.8811,1.81E+05
286,2,-1.4041,-1.9912,3.4811,5.36E+05
287,1,-0.33824,1.0569,4.6121,4.72E+05
287,2,0.52827,0.014741,4.0757,4.02E+05
288,1,-0.1993,-0.84737,2.7253,4.06E+05
288,2,-0.37276,1.3372,3.8676,2.82E+05
289,1,-0.66616,-1.0411,3.0359,5.16E+05
289,2,0.47837,-0.82066,7.0916,2.36E+05
290,1,-0.87837,1.0496,3.2127,2.25E+05
290,2,0.64773,1.3231,6.2128,4.08E+05
291,1,0.27171,-0.35232,8.0296,2.78E+05
291,2,0.35864,0.13236,4.954,4.91E+05
292,1,-0.52788,0.56456,2.5984,1.95E+05
292,2,-0.34579,-0.80154,3.9634,4.82E+05
293,1,0.084606,0.90075,3.7956,1.50E+05
293,2,0.72912,-1.3256,5.605,6.76E+05
294,1,1.2374,0.12357,7.3356,3.10E+05
294,2,0.033012,0.27394,5.1,5.63E+05
295,1,1.0135,1.2437,8.4396,4.01E+05
295,2,-0.92774,-0.58949,2.8267,2.28E+05
296,1,-1.3631,0.43782,2.4978,1.77E+05
296,2,0.68058,-0.14327,7.9245,5.11E+05
297,1,-0.93873,-0.58362,2.87,4.04E+05
297,2,-0.81346,1.7095,3.9434,1.32E+05
298,1,-1.3157,-1.3313,1.849,81605
298,2,0.62712,-0.13085,6.075,6.17E+05
299,1,0.31758,1.1591,6.2463,3.56E+05
299,2,0.16284,0.12839,4.632,4.13E+05
300,1,-0.19932,-0.056144,3.5221,2.95E+05
300,2,0.88167,-0.84124,6.3366,5.88E+05
301,1,0.98399,-0.36271,4.3945,4.45E+05
301,2,0.10123,-0.73883,4.3566,4.05E+05
302,1,-1.4565,0.4872,3.2916,1.73E+05
302,2,1.3218,-1.5666,5.919,6.26E+05
303,1,-0.8782,0.53556,3.0501,3.74E+05
303,2,-2.8614,-0.34204,1.8531,64873
304,1,0.1509,0.83683,6.0495,5.24E+05
304,2,-0.99132,0.47451,2.804,1.60E+05
305,1,0.66703,0.0065093,6.9836,2.87E+05
305,2,0.82812,-0.23589,8.2179,4.28E+05
306,1,-0.57451,-0.4841,4.4132,4.65E+05
306,2,0.49975,0.23845,7.7768,1.60E+05
307,1,1.8512,-1.7787,5.6284,6.85E+05
307,2,-1.8977,-0.92264,1.9023,81353
308,1,0.28616,-0.81331,4.568,5.53E+05
308,2,-0.68617,0.7934,2.9342,1.51E+05
309,1,-0.41103,0.22578,3.4699,2.84E+05
309,2,0.66356,-0.21284,5.4221,5.71E+05
310,1,-0.15558,0.50943,4.0257,3.55E+05
310,2,0.12915,-0.030124,5.6422,3.57E+05
311,1,-0.089803,-0.091861,4.3859,1.93E+05
311,2,-0.0062921,-0.92124,3.5798,4.92E+05
312,1,0.94041,1.8593,7.4618,86231
312,2,0.34916,0.92707,5.6752,3.88E+05
313,1,2.2652,-1.5519,7.8725,4.75E+05
313,2,-0.04789,0.44408,4.6701,2.99E+05
314,1,0.29964,-0.14642,3.1557,1.80E+05
314,2,-0.19722,-0.10307,4.2094,5.64E+05
315,1,-1.522,-1.5075,2.6768,1.86E+05
315,2,0.62101,-1.6794,4.2813,6.41E+05
316,1,-0.61435,0.54935,3.6994,3.82E+05
316,2,0.2417,0.46763,5.1519,3.25E+05
317,1,-0.38683,1.0877,7.5031,80425
317,2,0.42162,-2.2493,4.727,5.69E+05
318,1,-1.4689,3.4663,5.8301,19841
318,2,0.17694,-0.21463,5.8404,4.52E+05
319,1,-0.94645,0.34322,5.3246,3.08E+05
319,2,-0.4385,-0.058403,3.8262,4.68E+05
320,1,-1.3075,-0.19726,2.1826,3.28E+05
320,2,0.79414,0.64915,9.8628,57008
321,1,0.8465,-1.1611,5.4464,6.54E+05
321,2,0.11015,-0.39754,6.112,2.00E+05
322,1,2.7681,0.46877,10.51,60561
322,2,-0.49535,-0.6573,4.8592,6.11E+05
323,1,0.11339,-1.4617,3.6053,4.73E+05
323,2,-0.22981,-2.8823,2.6014,4.29E+05
324,1,-1.8172,0.16144,2.443,1.65E+05
324,2,-0.52173,-1.0618,3.1552,5.25E+05
325,1,-0.76441,-0.78993,5.2844,5.12E+05
325,2,0.41014,0.16164,8.7043,53776
326,1,1.1754,1.9512,8.5764,46662
326,2,0.39774,-0.90466,7.1047,6.39E+05
327,1,0.45817,-0.29199,4.5567,4.54E+05
327,2,-0.26414,-0.3868,3.002,3.43E+05
328,1,1.4419,1.0214,11.22,13608
328,2,0.23553,-0.13983,6.4102,5.71E+05
329,1,1.6925,0.36853,12.343,61127
329,2,0.47573,2.192,7.8738,2.50E+05
330,1,-0.11522,-2.0215,3.2718,5.70E+05
330,2,1.822,-0.63698,8.2093,2.76E+05
331,1,0.72973,-0.25929,7.0433,4.65E+05
331,2,-0.94013,-1.2135,2.6808,3.70E+05
332,1,0.09866,0.27526,4.0103,2.06E+05
332,2,1.6843,0.35329,7.5013,5.86E+05
333,1,1.1283,-1.5579,4.9703,4.61E+05
333,2,2.4654,-2.0666,8.4187,4.88E+05
334,1,0.006498,-1.6439,4.7424,5.45E+05
334,2,-1.0646,1.5815,2.4432,1.45E+05
335,1,-0.12177,-0.84072,3.9111,3.63E+05
335,2,0.74077,-0.34947,7.2655,4.86E+05
336,1,-0.22538,1.3067,4.0434,2.57E+05
336,2,-0.28028,-0.28438,4.5199,4.01E+05
337,1,0.95944,0.64717,8.8777,2.06E+05
337,2,1.0871,0.63255,5.0429,5.76E+05
338,1,0.91939,-0.29934,5.0233,5.11E+05
338,2,0.021531,-1.721,2.9789,4.20E+05
339,1,-0.76199,-1.6488,3.1827,4.94E+05
339,2,-0.2503,-0.18199,3.6923,3.06E+05
340,1,1.1011,-0.46671,5.0737,4.68E+05
340,2,-0.44661,-1.4358,3.7614,3.84E+05
341,1,0.6699,0.76665,6.7172,3.14E+05
341,2,0.37578,1.5235,5.6658,4.29E+05
342,1,-0.50495,-1.1114,3.624,4.30E+05
342,2,0.32585,0.46818,5.2576,3.54E+05
343,1,-0.022055,0.92946,3.0838,1.96E+05
343,2,-0.0087579,-0.090432,4.5966,3.82E+05
344,1,1.3803,0.76087,7.6657,3.27E+05
344,2,-0.94146,0.23792,3.3198,3.07E+05
345,1,0.23759,-1.045,3.9986,5.51E+05
345,2,-0.67155,0.96577,4.4493,2.92E+05
346,1,1.4213,-1.029,8.1359,7.37E+05
346,2,1.4076,0.20651,13.105,4940
347,1,0.66164,-0.22558,7.6351,98775
347,2,0.22735,-0.96599,4.6659,5.68E+05
348,1,-0.1734,-0.61274,5.1231,4.45E+05
348,2,-0.014029,2.0718,5.7953,1.78E+05
349,1,-0.097748,-0.6155,5.6791,3.59E+05
349,2,-0.55662,1.6046,4.4777,2.41E+05
350,1,0.29004,0.47527,4.464,3.08E+05
350,2,-1.4199,-1.4473,2.6731,4.20E+05
351,1,-0.39813,0.22003,3.0165,2.35E+05
351,2,0.25644,-1.7114,2.9514,5.26E+05
352,1,0.70188,-1.1064,7.8462,6.51E+05
352,2,-1.0055,1.7906,4.4573,32167
353,1,-0.54027,0.81981,4.0818,2.29E+05
353,2,1.7175,0.055521,10.115,3.88E+05
354,1,0.39273,0.14895,6.082,4.46E+05
354,2,-0.87796,1.5319,3.0389,2.02E+05
355,1,2.0193,-0.65951,8.0452,4.94E+05
355,2,-1.7937,0.77145,2.9495,90921
356,1,-0.92708,-0.47167,3.5037,3.19E+05
356,2,-0.16988,-0.11423,3.8909,3.66E+05
357,1,-0.47233,0.98423,4.4566,4.04E+05
357,2,0.27595,0.99311,5.5637,2.87E+05
358,1,-0.46614,0.92481,4.1523,5.01E+05
358,2,-0.33209,1.447,6.8029,1.99E+05
359,1,0.095285,0.50127,5.1467,2.07E+05
359,2,1.6145,-0.32384,7.0874,6.79E+05
360,1,1.0231,0.10949,6.2173,5.95E+05
360,2,-3.4915,-1.5513,1.7737,35026
361,1,0.77841,-0.90353,6.2556,5.36E+05
361,2,-0.24646,-0.4959,2.4944,1.91E+05
362,1,0.81887,-0.32374,6.5212,3.86E+05
362,2,2.0475,-0.98054,8.4184,5.08E+05
363,1,0.24892,0.066095,4.3076,4.25E+05
363,2,-1.1298,-0.63792,3.7457,2.82E+05
364,1,-1.0864,-1.0462,3.2853,5.64E+05
364,2,0.24027,0.61872,6.7215,1.94E+05
365,1,0.0087093,-0.54741,4.5299,4.41E+05
365,2,0.33427,-1.651,3.7654,4.48E+05
366,1,2.5367,-1.3187,13.182,39774
366,2,2.2936,-0.47413,6.8753,6.28E+05
367,1,1.3993,-0.92247,7.3487,7.11E+05
367,2,-0.87988,2.3144,4.8463,37077
368,1,0.34211,-0.90329,4.9859,6.59E+05
368,2,-2.264,2.97,2.0154,9593.1
369,1,0.69458,0.10158,4.4911,3.97E+05
369,2,-0.16275,-0.017858,4.7893,4.48E+05
370,1,0.19499,-0.52153,5.8751,5.21E+05
370,2,-0.066947,0.1271,4.1041,3.77E+05
371,1,-0.2389,1.8258,3.5553,3.63E+05
371,2,-1.576,0.20427,2.7919,1.94E+05
372,1,-0.18147,0.36184,3.6938,3.47E+05
372,2,0.04201,0.85371,3.4759,3.50E+05
373,1,0.42498,0.85858,5.3657,3.22E+05
373,2,-1.8547,0.30639,3.0489,75618
374,1,-0.35109,-0.86066,3.0454,3.35E+05
374,2,1.382,0.20689,6.5684,5.47E+05
375,1,-0.27077,-0.50614,3.6841,4.31E+05
375,2,0.43966,-0.18435,5.2324,4.36E+05
376,1,0.8706,-1.3479,4.7873,6.65E+05
376,2,0.33076,1.5479,5.0493,1.60E+05
377,1,-0.10271,-0.83959,5.9433,4.68E+05
377,2,-0.32272,-1.6606,4.0099,4.59E+05
378,1,0.3589,-0.57036,3.5179,5.35E+05
378,2,-0.012137,0.93403,6.5219,2.79E+05
379,1,0.87259,-1.5031,5.9131,6.13E+05
379,2,0.11792,0.92184,4.7686,1.60E+05
380,1,2.1844,-0.29421,5.3445,6.10E+05
380,2,-0.093783,-0.50481,3.8954,3.15E+05
381,1,-0.27503,-2.7712,3.1232,5.20E+05
381,2,0.84514,0.91807,5.3326,2.48E+05
382,1,-0.4242,1.2064,3.9945,2.09E+05
382,2,-1.4694,0.19734,3.1054,4.30E+05
383,1,0.62105,-1.0578,5.4373,7.14E+05
383,2,-1.7955,0.15154,2.5178,74891
384,1,1.2618,-0.57033,5.2468,3.71E+05
384,2,1.1673,-0.3939,5.9785,5.24E+05
385,1,0.91955,0.65713,6.3177,94464
385,2,0.85216,-0.75346,6.1828,6.92E+05
386,1,-2.2082,-0.061672,2.2382,1.80E+05
386,2,1.4361,1.1778,6.3625,4.69E+05
387,1,0.17968,0.055986,5.0226,2.65E+05
387,2,1.1663,-2.1,4.8234,6.79E+05
388,1,0.37392,0.33858,5.7989,1.33E+05
388,2,0.24518,-1.0781,3.8856,5.77E+05
389,1,-0.19671,0.91075,5.0775,2.58E+05
389,2,-0.89014,-0.012265,4.2302,3.58E+05
390,1,-2.1327,0.96629,3.1158,70749
390,2,0.21993,0.34999,6.8722,6.19E+05
391,1,-0.83009,-0.64259,3.7439,4.47E+05
391,2,-0.12178,-0.07895,3.6282,3.56E+05
392,1,0.67452,-0.14946,7.254,5.05E+05
392,2,1.0368,-0.31708,12.438,4732.6
393,1,0.031701,-0.083531,5.0388,2.26E+05
393,2,0.34127,0.61642,6.6146,4.02E+05
394,1,-0.068325,-0.47357,4.6565,3.35E+05
394,2,-0.56347,-1.7035,2.7221,3.77E+05
395,1,0.054933,-1.7756,3.5057,5.09E+05
395,2,1.3986,0.32965,7.5637,1.96E+05
396,1,-0.83662,1.4584,3.4595,97559
396,2,0.55315,-0.85508,5.3996,6.02E+05
397,1,-0.81633,0.20707,2.6563,1.75E+05
397,2,0.11515,-0.44456,4.9069,5.62E+05
398,1,-0.63124,-0.86719,3.5949,5.40E+05
398,2,-0.50032,-1.0401,2.8481,3.28E+05
399,1,1.0604,1.7773,9.0194,35678
399,2,-0.53815,-0.77952,2.9887,4.59E+05
400,1,0.4173,-0.57268,4.3906,4.93E+05
400,2,-1.6481,0.65923,3.317,87749
401,1,0.64109,-0.35425,6.074,3.20E+05
401,2,0.9467,-0.57882,5.4326,4.34E+05
402,1,0.9625,-0.10792,7.5519,3.34E+05
402,2,1.2608,-0.57716,8.89,2.97E+05
403,1,1.5061,1.2041,14.972,863.18
403,2,0.29534,-0.011846,3.8363,5.86E+05
404,1,0.20566,-1.159,4.7262,5.44E+05
404,2,-0.34621,0.33583,5.4392,2.60E+05
405,1,0.24309,1.1306,5.7491,4.42E+05
405,2,1.4677,0.010653,12.03,50123
406,1,-0.87835,0.86278,4.9717,2.42E+05
406,2,-0.76195,0.64831,3.346,2.86E+05
407,1,-0.047474,1.437,5.0522,1.64E+05
407,2,1.6891,-2.2511,5.8601,7.04E+05
408,1,1.6245,0.55528,9.6249,1.83E+05
408,2,1.2411,0.70342,8.4034,3.60E+05
409,1,0.50773,-0.39437,6.9783,1.15E+05
409,2,-0.3099,-0.26974,3.8612,5.57E+05
410,1,-1.0718,-0.050611,2.6644,2.79E+05
410,2,0.24606,-0.73015,5.0387,5.55E+05
411,1,-1.2879,0.1638,2.3545,2.07E+05
411,2,0.083578,0.68257,6.4129,2.21E+05
412,1,0.30675,-0.22893,5.5258,6.24E+05
412,2,-0.53718,-0.53622,2.8384,2.41E+05
413,1,1.1435,0.16408,5.7332,5.56E+05
413,2,0.66329,1.7854,6.4887,2.33E+05
414,1,-0.34434,2.0541,3.7996,2.02E+05
414,2,0.64762,0.79894,5.8556,4.46E+05
415,1,1.1802,0.99157,5.8785,5.46E+05
415,2,0.3774,0.60345,7.1039,1.80E+05
416,1,0.59964,-1.4197,5.2575,5.10E+05
416,2,1.1004,-0.20364,6.8896,2.95E+05
417,1,0.65202,1.676,7.0287,1.97E+05
417,2,0.17853,-0.3251,4.6134,4.35E+05
418,1,-1.2273,-0.73482,2.2356,99969
418,2,0.19093,0.78838,3.7558,3.77E+05
419,1,-1.9683,-0.086922,2.3975,1.82E+05
419,2,-1.6861,0.30739,3.1044,3.27E+05
420,1,1.0478,0.026693,6.4994,5.77E+05
420,2,2.0589,-0.24052,7.5964,3.10E+05
421,1,0.24526,-1.1181,3.75,4.60E+05
421,2,0.14579,-0.59694,5.3757,3.81E+05
422,1,0.59852,-1.9808,5.3603,6.31E+05
422,2,-0.1925,0.36294,3.3116,2.34E+05
423,1,1.7013,0.20392,8.0094,2.45E+05
423,2,-0.030569,-1.0478,3.4058,4.11E+05
424,1,-0.82829,0.91914,5.1351,3.62E+05
424,2,2.8876,0.40579,8.3235,3.18E+05
425,1,0.19994,0.52937,5.0591,3.64E+05
425,2,-1.0383,-2.2171,2.8118,4.03E+05
426,1,-0.7637,-0.37464,2.6374,2.99E+05
426,2,0.54952,-1.6592,4.3951,5.24E+05
427,1,0.040473,-0.54774,5.7458,5.89E+05
427,2,-0.25473,1.6766,6.1271,57067
428,1,1.7933,-0.32585,7.6174,4.86E+05
428,2,1.1026,-0.58281,4.7512,4.27E+05
429,1,0.95588,0.24494,7.5249,2.98E+05
429,2,0.15928,1.1247,4.6686,2.67E+05
430,1,-0.08839,-0.54458,3.1745,4.72E+05
430,2,-0.41304,-0.024007,3.1826,3.26E+05
431,1,-0.69323,1.455,5.4574,2.53E+05
431,2,0.57765,1.0355,7.9415,1.85E+05
432,1,-0.72984,-1.1986,2.4027,2.80E+05
432,2,0.8332,0.61877,4.7833,5.14E+05
433,1,0.015975,-0.24937,4.6657,5.21E+05
433,2,1.1107,0.4957,9.0172,1.71E+05
434,1,2.4677,-0.93384,8.594,5.63E+05
434,2,1.1462,1.1198,9.0202,66531
435,1,-0.39726,1.7697,3.6037,1.24E+05
435,2,0.53786,-1.9055,6.0466,6.77E+05
436,1,0.92393,-1.3019,5.0647,4.81E+05
436,2,2.2231,-0.90899,7.8481,4.32E+05
437,1,1.2196,0.20398,7.6705,4.16E+05
437,2,-0.90956,0.98975,3.035,2.24E+05
438,1,-0.59968,-0.19767,2.3823,2.25E+05
438,2,1.3532,-0.578,6.0915,6.59E+05
439,1,0.1929,-0.39985,5.2898,6.21E+05
439,2,-1.2898,0.7754,4.3386,1.54E+05
440,1,0.32529,0.22016,5.6905,4.07E+05
440,2,1.2524,0.8152,5.8771,4.57E+05
441,1,-0.0875,-0.74314,4.0794,4.04E+05
441,2,0.35545,0.072031,5.1154,3.22E+05
442,1,1.1483,-0.13612,5.3105,4.22E+05
442,2,-1.085,0.65509,4.2071,3.66E+05
443,1,1.0328,0.10926,4.3725,4.48E+05
443,2,0.37714,-0.68019,4.0383,3.76E+05
444,1,0.6145,0.82818,6.818,2.38E+05
444,2,-0.7853,0.66742,3.0386,2.77E+05
445,1,-1.0135,0.52359,3.9911,5.03E+05
445,2,0.25229,-1.4616,3.0893,2.81E+05
446,1,0.32517,0.011596,4.6053,3.47E+05
446,2,-0.42891,0.73132,4.8515,3.62E+05
447,1,0.19121,-0.85661,5.0473,5.57E+05
447,2,-0.62876,-0.38871,2.7572,3.00E+05
448,1,-1.1334,1.0402,3.5617,3.16E+05
448,2,0.022121,1.2315,5.1624,2.70E+05
449,1,0.93744,-2.1189,4.7522,3.95E+05
449,2,0.97424,-0.046465,5.1256,4.81E+05
450,1,-1.6838,-0.12448,2.7904,1.91E+05
450,2,0.17703,-0.41555,5.1308,5.56E+05
451,1,0.3501,0.18608,5.15,4.79E+05
451,2,-0.29131,0.5766,3.2474,3.24E+05
452,1,0.99728,-0.657,6.4865,3.76E+05
452,2,-0.026054,0.67775,5.8194,2.47E+05
453,1,-0.16016,1.9371,6.6189,79281
453,2,-0.11384,-0.1708,4.8696,5.13E+05
454,1,0.36625,2.689,5.0715,3.91E+05
454,2,0.32215,0.87607,5.7869,1.24E+05
455,1,-0.81893,0.53382,6.4876,88005
455,2,0.99214,-1.5267,6.6443,6.47E+05
456,1,0.17956,0.037599,3.6984,3.59E+05
456,2,-1.0193,0.13712,2.8931,3.28E+05
457,1,0.4106,-0.57374,4.3284,5.14E+05
457,2,-1.2126,0.10539,2.7372,2.74E+05
458,1,0.93159,0.57136,7.8764,2.82E+05
458,2,0.60004,0.68511,6.7577,4.36E+05
459,1,-0.11066,-1.1979,4.1625,4.94E+05
459,2,1.2379,-0.56439,6.8437,4.12E+05
460,1,-0.1558,-2.4432,3.0325,5.02E+05
460,2,-0.2754,-0.42732,5.0977,4.27E+05
461,1,-0.38547,-0.67377,3.7588,3.95E+05
461,2,-0.94228,-1.9242,2.4239,3.28E+05
462,1,1.0658,0.12185,6.5968,3.91E+05
462,2,1.6207,-1.238,8.7646,4.30E+05
463,1,-0.96631,0.40383,2.0913,1.28E+05
463,2,1.5092,-0.42214,6.4631,6.14E+05
464,1,0.34681,0.15563,5.8006,4.41E+05
464,2,0.82935,0.083714,9.7337,2.21E+05
465,1,1.5778,-0.67298,7.5526,4.43E+05
465,2,0.089548,0.93189,5.8847,2.10E+05
466,1,-1.6033,-0.7017,2.5774,3.48E+05
466,2,-2.3621,1.6519,2.6258,49381
467,1,0.33048,-2.0905,4.049,5.35E+05
467,2,0.47581,-0.17403,3.8545,3.61E+05
468,1,0.8699,1.3047,8.6316,1.87E+05
468,2,-0.57081,-0.042644,6.6435,3.07E+05
469,1,-1.0725,-1.2084,2.3459,3.61E+05
469,2,1.8233,-0.065392,7.38,3.38E+05
470,1,-1.3892,1.1289,3.2631,2.75E+05
470,2,-1.3407,0.0016961,2.437,1.92E+05
471,1,0.16746,-0.62408,4.5132,6.17E+05
471,2,1.7881,-0.14996,8.7167,2.65E+05
472,1,-0.67671,0.51517,4.7523,3.67E+05
472,2,-0.016021,0.44483,5.6559,2.79E+05
473,1,0.42866,0.10982,6.4001,5.86E+05
473,2,-1.3246,-1.6547,1.6489,81444
474,1,-0.03822,0.055461,5.0477,3.15E+05
474,2,1.8829,-0.61389,6.6581,4.87E+05
475,1,-0.39275,-1.1905,2.9953,4.28E+05
475,2,-0.62204,-1.8785,3.8583,3.79E+05
476,1,-0.88831,-0.69218,4.2332,5.99E+05
476,2,2.1408,0.099297,14.315,8765.2
477,1,-1.1144,0.66116,2.6183,87820
477,2,-1.7059,-1.7296,2.3794,2.73E+05
478,1,-1.4951,0.80287,4.0774,1.66E+05
478,2,0.037283,0.97385,5.9496,5.60E+05
479,1,0.039702,1.2331,3.5136,2.93E+05
479,2,-1.3799,1.7421,3.6475,2.55E+05
480,1,-0.8891,0.3832,3.121,2.90E+05
480,2,1.2634,-0.11887,7.4041,5.38E+05
481,1,0.6885,1.2502,4.676,4.10E+05
481,2,1.5857,-0.1156,5.7505,3.06E+05
482,1,-0.54913,0.21278,4.371,2.96E+05
482,2,0.28373,-2.2028,6.1602,5.68E+05
483,1,-0.75733,2.1232,3.8749,1.54E+05
483,2,0.59615,1.3117,5.3437,3.87E+05
484,1,-0.062736,0.22114,5.0613,4.13E+05
484,2,1.2711,1.664,9.4442,67859
485,1,-0.2099,-1.1164,4.6171,5.89E+05
485,2,-1.5882,0.61686,2.1936,56469
486,1,-1.1752,1.194,2.8626,2.90E+05
486,2,-0.99822,-1.7537,3.2418,4.81E+05
487,1,-1.1752,-0.42217,2.7645,2.89E+05
487,2,0.089962,-1.6509,4.6521,5.37E+05
488,1,-1.3443,-1.1534,2.2061,2.36E+05
488,2,-1.2348,-0.10933,4.3252,4.04E+05
489,1,0.57407,0.19169,4.8089,3.04E+05
489,2,0.37173,1.2441,6.8326,4.41E+05
490,1,1.1102,1.7073,8.8283,1.97E+05
490,2,1.1826,-0.42032,6.4647,6.12E+05
491,1,0.92949,-1.1832,5.3996,6.89E+05
491,2,1.793,-0.11118,15.464,2084.9
492,1,-0.62457,-1.3243,2.1759,2.07E+05
492,2,0.77668,1.5003,6.8311,4.05E+05
493,1,-0.96646,-1.0362,1.7604,1.14E+05
493,2,0.60935,-0.028238,4.4669,3.71E+05
494,1,-1.6495,0.49432,2.1987,2.03E+05
494,2,0.67867,-0.58847,8.2609,4.56E+05
495,1,0.20755,-0.0058805,4.4086,4.91E+05
495,2,0.32208,0.28139,3.7642,2.78E+05
496,1,0.25879,2.221,7.4074,72144
496,2,0.60366,-1.6541,5.3002,6.86E+05
497,1,-0.12753,0.42621,6.7907,71347
497,2,0.68036,-1.6057,5.4582,7.06E+05
498,1,-0.72204,0.0036123,3.2413,4.04E+05
498,2,-1.7522,0.99514,2.3604,1.19E+05
499,1,1.0235,-0.48266,5.1603,5.91E+05
499,2,0.015895,0.63467,7.4286,58075
500,1,-0.64881,0.11787,3.4312,4.69E+05
500,2,0.42359,-1.0808,2.6782,3.82E+05
