M,J,X,W,Xi,Omega
273,2,0.34639,-0.18471,-0.88704,1.3922
274,1,2.4739,-0.82248,-1.0071,-0.65896
274,2,0.50392,0.20098,-0.61317,-0.83323
275,1,0.37818,0.66724,1.0375,0.61895
275,2,-1.1153,0.79533,-0.020431,1.8031
276,1,0.052993,1.7725,-0.45659,-0.47145
276,2,-0.17789,-2.5088,2.4304,-0.56033
277,1,-1.2265,-2.1099,0.56698,0.62392
277,2,0.79295,-0.7994,-0.0014429,0.12644
278,1,0.68087,0.21808,0.78328,0.65532
278,2,-1.2874,-1.5666,-0.31057,-0.53747
279,1,0.32864,-1.9797,-1.8324,0.40519
279,2,1.0541,-1.8674,0.84859,-0.70246
280,1,1.499,-1.5868,-1.3852,-0.60112
280,2,0.13779,-1.0191,0.95489,-1.1719
281,1,-0.57711,0.85297,0.30232,0.042975
281,2,-0.83643,0.47733,0.41578,-0.94885
282,1,0.54161,-1.0719,0.86955,-1.7588
282,2,-0.82113,-1.0741,0.98105,-0.1481
283,1,0.25194,0.76098,-0.15283,0.67702
283,2,-0.61038,0.25443,-0.55741,0.8493
284,1,0.46931,0.92099,0.14444,-0.1897
284,2,-0.23978,-0.90688,1.3964,-0.84384
285,1,1.9434,0.44162,0.28761,0.0045616
285,2,-0.24692,-0.80361,0.46702,0.32609
286,1,1.2046,0.20556,0.028409,0.94114
286,2,-1.4041,-1.9912,1.9305,-0.0069245
287,1,-0.33824,1.0569,1.6148,-1.9978
287,2,0.52827,0.014741,-0.81585,-0.74819
288,1,-0.1993,-0.84737,-1.6163,-0.9693
288,2,-0.37276,1.3372,-0.49182,-0.47411
289,1,-0.66616,-1.0411,0.10113,-1.8545
289,2,0.47837,-0.82066,1.084,1.7998
290,1,-0.87837,1.0496,-0.51736,-0.16237
290,2,0.64773,1.3231,0.024315,-0.60566
291,1,0.27171,-0.35232,2.6736,0.7103
291,2,0.35864,0.13236,-0.0075661,-0.46254
292,1,-0.52788,0.56456,-1.8529,-0.43642
292,2,-0.34579,-0.80154,0.053216,0.28001
293,1,0.084606,0.90075,-1.5246,0.30639
293,2,0.72912,-1.3256,0.50243,-0.93916
294,1,1.2374,0.12357,0.75417,-0.26198
294,2,0.033012,0.27394,1.5245,-1.7307
295,1,1.0135,1.2437,1.4915,-1.1126
295,2,-0.92774,-0.58949,-0.80598,0.95694
296,1,-1.3631,0.43782,-0.34153,-0.37454
296,2,0.68058,-0.14327,2.0578,-0.1902
297,1,-0.93873,-0.58362,-0.39042,-0.44822
297,2,-0.81346,1.7095,-0.69007,0.71438
298,1,-1.3157,-1.3313,-1.8269,0.69286
298,2,0.62712,-0.13085,0.53592,-0.68755
299,1,0.31758,1.1591,1.0395,-0.6483
299,2,0.16284,0.12839,-0.11677,-0.037981
300,1,-0.19932,-0.056144,-0.15484,-0.41491
300,2,0.88167,-0.84124,1.1886,-0.65862
301,1,0.98399,-0.36271,-1.4798,-0.31702
301,2,0.10123,-0.73883,0.15337,0.31892
302,1,-1.4565,0.4872,1.0571,0.30222
302,2,1.3218,-1.5666,-0.58758,0.21946
303,1,-0.8782,0.53556,-0.59786,-0.68968
303,2,-2.8614,-0.34204,0.41891,0.67119
304,1,0.1509,0.83683,1.2522,-0.89527
304,2,-0.99132,0.47451,-0.89262,0.31333
305,1,0.66703,0.0065093,0.65282,0.88458
305,2,0.82812,-0.23589,1.9645,0.084537
306,1,-0.57451,-0.4841,0.77825,0.58814
306,2,0.49975,0.23845,0.92427,1.3779
307,1,1.8512,-1.7787,-1.9979,-0.3364
307,2,-1.8977,-0.92264,-0.3571,0.25043
308,1,0.28616,-0.81331,-0.38195,0.010307
308,2,-0.68617,0.7934,-1.3712,0.20413
309,1,-0.41103,0.22578,-0.044035,-0.44142
309,2,0.66356,-0.21284,0.45818,-1.0549
310,1,-0.15558,0.50943,-0.45736,-0.11353
310,2,0.12915,-0.030124,0.59634,0.80702
311,1,-0.089803,-0.091861,-0.92695,1.7848
311,2,-0.0062921,-0.92124,-0.96122,-0.20019
312,1,0.94041,1.8593,-1.227,0.89165
312,2,0.34916,0.92707,-0.32724,0.28819
313,1,2.2652,-1.5519,-0.91182,1.078
313,2,-0.04789,0.44408,0.049435,0.30818
314,1,0.29964,-0.14642,-2.799,0.99025
314,2,-0.19722,-0.10307,0.39328,-1.2976
315,1,-1.522,-1.5075,0.78898,1.2449
315,2,0.62101,-1.6794,-0.65428,-1.2923
316,1,-0.61435,0.54935,0.19146,-0.57922
316,2,0.2417,0.46763,-0.2298,0.48048
317,1,-0.38683,1.0877,1.8045,1.3165
317,2,0.42162,-2.2493,-0.63206,1.5516
318,1,-1.4689,3.4663,0.48628,1.2679
318,2,0.17694,-0.21463,0.33089,1.0905
319,1,-0.94645,0.34322,2.535,0.43752
319,2,-0.4385,-0.058403,0.43865,-0.83768
320,1,-1.3075,-0.19726,-0.83147,-1.8135
320,2,0.79414,0.64915,0.89595,1.5667
321,1,0.8465,-1.1611,0.25429,-1.0335
321,2,0.11015,-0.39754,1.2078,1.2951
322,1,2.7681,0.46877,-1.717,0.69414
322,2,-0.49535,-0.6573,1.4705,-0.5107
323,1,0.11339,-1.4617,-0.047468,-0.57665
323,2,-0.22981,-2.8823,-0.46247,-0.84597
324,1,-1.8172,0.16144,0.45049,-0.10145
324,2,-0.52173,-1.0618,-0.2728,-1.4291
325,1,-0.76441,-0.78993,1.9779,1.0374
325,2,0.41014,0.16164,0.79527,2.3603
326,1,1.1754,1.9512,-0.68215,0.45434
326,2,0.39774,-0.90466,2.0183,-0.042104
327,1,0.45817,-0.29199,-0.55399,-0.059848
327,2,-0.26414,-0.3868,-0.94373,-0.57468
328,1,1.4419,1.0214,-0.081551,1.4685
328,2,0.23553,-0.13983,1.2582,0.032941
329,1,1.6925,0.36853,1.5357,0.40226
329,2,0.47573,2.192,0.90726,-0.53838
330,1,-0.11522,-2.0215,-0.1888,-1.7839
330,2,1.822,-0.63698,0.14828,0.52907
331,1,0.72973,-0.25929,1.6245,-0.25089
331,2,-0.94013,-1.2135,0.37351,-0.92546
332,1,0.09866,0.27526,-1.2004,0.77616
332,2,1.6843,0.35329,0.16613,-1.3814
333,1,1.1283,-1.5579,-0.072599,-0.081664
333,2,2.4654,-2.0666,0.75911,-0.15847
334,1,0.006498,-1.6439,0.29261,1.0759
334,2,-1.0646,1.5815,-1.1876,-1.2974
335,1,-0.12177,-0.84072,0.029632,0.45902
335,2,0.74077,-0.34947,1.9524,-0.39931
336,1,-0.22538,1.3067,-0.79171,-0.094646
336,2,-0.28028,-0.28438,0.24062,0.79323
337,1,0.95944,0.64717,1.9033,-0.34731
337,2,1.0871,0.63255,-1.16,-1.6951
338,1,0.91939,-0.29934,0.18343,-1.3548
338,2,0.021531,-1.721,-0.25973,-1.1574
339,1,-0.76199,-1.6488,0.61569,-0.69804
339,2,-0.2503,-0.18199,-0.37667,0.30412
340,1,1.1011,-0.46671,-0.97772,-0.11365
340,2,-0.44661,-1.4358,0.60589,0.76456
341,1,0.6699,0.76665,0.57682,-0.042931
341,2,0.37578,1.5235,0.42597,-1.2423
342,1,-0.50495,-1.1114,0.32261,0.30143
342,2,0.32585,0.46818,0.10002,0.023824
343,1,-0.022055,0.92946,-2.6411,0.19597
343,2,-0.0087579,-0.090432,-0.48615,0.95972
344,1,1.3803,0.76087,-0.20837,-0.028091
344,2,-0.94146,0.23792,0.024739,0.14036
345,1,0.23759,-1.045,-0.21976,-0.92419
345,2,-0.67155,0.96577,1.4145,-0.59414
346,1,1.4213,-1.029,1.3411,-1.2849
346,2,1.4076,0.20651,1.3327,1.6184
347,1,0.66164,-0.22558,0.095018,2.3101
347,2,0.22735,-0.96599,-0.25673,0.19006
348,1,-0.1734,-0.61274,0.63702,1.1233
348,2,-0.014029,2.0718,0.074894,-0.033128
349,1,-0.097748,-0.6155,0.7685,1.7044
349,2,-0.55662,1.6046,0.086933,0.023634
350,1,0.29004,0.47527,-0.98828,0.35122
350,2,-1.4199,-1.4473,0.94938,-0.87228
351,1,-0.39813,0.22003,-1.2058,-0.072492
351,2,0.25644,-1.7114,-1.7729,-1.7211
352,1,0.70188,-1.1064,2.1624,-0.03705
352,2,-1.0055,1.7906,-0.81928,1.963
353,1,-0.54027,0.81981,-0.35313,0.71105
353,2,1.7175,0.055521,1.6931,-0.63276
354,1,0.39273,0.14895,0.53185,0.34798
354,2,-0.87796,1.5319,-0.75967,-0.6978
355,1,2.0193,-0.65951,-0.82034,0.65454
355,2,-1.7937,0.77145,0.017888,1.2577
356,1,-0.92708,-0.47167,0.36949,0.80012
356,2,-0.16988,-0.11423,-0.61862,0.4267
357,1,-0.47233,0.98423,0.66821,-0.6201
357,2,0.27595,0.99311,-0.064998,0.2241
358,1,-0.46614,0.92481,0.59583,-1.5293
358,2,-0.33209,1.447,2.0533,0.022688
359,1,0.095285,0.50127,0.55422,0.18263
359,2,1.6145,-0.32384,0.64244,-2.0275
360,1,1.0231,0.10949,-0.35511,-0.51347
360,2,-3.4915,-1.5513,1.3986,1.9172
361,1,0.77841,-0.90353,0.37449,0.61506
361,2,-0.24646,-0.4959,-2.3705,0.27946
362,1,0.81887,-0.32374,1.1796,-0.14293
362,2,2.0475,-0.98054,0.89458,-0.59347
363,1,0.24892,0.066095,-0.81931,0.030349
363,2,-1.1298,-0.63792,0.96795,1.3511
364,1,-1.0864,-1.0462,1.305,-2.1154
364,2,0.24027,0.61872,1.0235,0.68173
365,1,0.0087093,-0.54741,0.89279,-0.32979
365,2,0.33427,-1.651,-0.50706,0.16835
366,1,2.5367,-1.3187,0.98738,1.244
366,2,2.2936,-0.47413,-2.073,-0.31524
367,1,1.3993,-0.92247,0.58801,-1.033
367,2,-0.87988,2.3144,-0.30977,1.1034
368,1,0.34211,-0.90329,-0.011766,-0.88802
368,2,-2.264,2.97,-1.9995,-0.4199
369,1,0.69458,0.10158,-0.96033,-0.36527
369,2,-0.16275,-0.017858,1.1728,-0.46341
370,1,0.19499,-0.52153,2.113,-0.65509
370,2,-0.066947,0.1271,0.54128,-0.86953
371,1,-0.2389,1.8258,-1.1634,-1.4435
371,2,-1.576,0.20427,0.12061,0.58235
372,1,-0.18147,0.36184,-0.80977,-0.1039
372,2,0.04201,0.85371,-1.4671,-0.82291
373,1,0.42498,0.85858,-1.1116,0.83786
373,2,-1.8547,0.30639,-0.31724,2.4265
374,1,-0.35109,-0.86066,-0.2075,-0.49811
374,2,1.382,0.20689,0.34026,-1.4214
375,1,-0.27077,-0.50614,0.402,-0.73359
375,2,0.43966,-0.18435,0.53923,-0.26837
376,1,0.8706,-1.3479,-0.61664,-1.4236
376,2,0.33076,1.5479,-0.69857,-0.10963
377,1,-0.10271,-0.83959,3.0125,-0.35899
377,2,-0.32272,-1.6606,1.5008,-0.11488
378,1,0.3589,-0.57036,-1.1383,-1.7632
378,2,-0.012137,0.93403,1.9572,-0.32333
379,1,0.87259,-1.5031,0.16324,0.40371
379,2,0.11792,0.92184,-0.81467,0.75616
380,1,2.1844,-0.29421,-1.927,-2.0544
380,2,-0.093783,-0.50481,0.52138,-0.26984
381,1,-0.27503,-2.7712,-0.51925,-0.0087181
381,2,0.84514,0.91807,-1.293,0.23335
382,1,-0.4242,1.2064,-0.70688,0.36717
382,2,-1.4694,0.19734,1.2164,-1.2675
383,1,0.62105,-1.0578,0.41126,-1.933
383,2,-1.7955,0.15154,0.070498,0.81872
384,1,1.2618,-0.57033,-1.0174,0.25212
384,2,1.1673,-0.3939,0.25021,-0.77148
385,1,0.91955,0.65713,-1.3385,1.4472
385,2,0.85216,-0.75346,0.65223,-1.2901
386,1,-2.2082,-0.061672,0.98551,-0.43188
386,2,1.4361,1.1778,-1.2186,-0.83494
387,1,0.17968,0.055986,1.2353,-0.45954
387,2,1.1663,-2.1,0.0026715,-2.1032
388,1,0.37392,0.33858,-0.73016,1.7876
388,2,0.24518,-1.0781,-0.91633,-0.8204
389,1,-0.19671,0.91075,0.072814,0.67524
389,2,-0.89014,-0.012265,0.93942,0.78597
390,1,-2.1327,0.96629,0.90182,1.2486
390,2,0.21993,0.34999,2.1212,-1.1232
391,1,-0.83009,-0.64259,1.2281,-0.2861
391,2,-0.12178,-0.07895,-0.53137,-0.22761
392,1,0.67452,-0.14946,0.93359,0.48818
392,2,1.0368,-0.31708,0.72328,3.2662
393,1,0.031701,-0.083531,-0.525,1.8291
393,2,0.34127,0.61642,1.0077,0.085288
394,1,-0.068325,-0.47357,-0.05372,1.2559
394,2,-0.56347,-1.7035,-0.88134,0.15584
395,1,0.054933,-1.7756,-1.0579,0.25844
395,2,1.3986,0.32965,-0.64337,0.89169
396,1,-0.83662,1.4584,-0.99212,0.62691
396,2,0.55315,-0.85508,-0.011699,0.0014992
397,1,-0.81633,0.20707,-1.1205,0.017089
397,2,0.11515,-0.44456,0.43536,-0.36299
398,1,-0.63124,-0.86719,1.2654,-1.729
398,2,-0.50032,-1.0401,-0.24146,-0.48824
399,1,1.0604,1.7773,-0.75297,1.1638
399,2,-0.53815,-0.77952,-1.0331,-0.58011
400,1,0.4173,-0.57268,-1.2804,0.5484
400,2,-1.6481,0.65923,0.050124,1.7784
401,1,0.64109,-0.35425,0.056473,1.1221
401,2,0.9467,-0.57882,-0.89332,0.77583
402,1,0.9625,-0.10792,0.52563,0.85838
402,2,1.2608,-0.57716,1.152,0.94558
403,1,1.5061,1.2041,0.7895,1.5421
403,2,0.29534,-0.011846,-1.4036,-1.7749
404,1,0.20566,-1.159,0.33224,0.13686
404,2,-0.34621,0.33583,1.4112,0.57763
405,1,0.24309,1.1306,0.12433,-0.23947
405,2,1.4677,0.010653,1.7794,0.85799
406,1,-0.87835,0.86278,1.0581,1.018
406,2,-0.76195,0.64831,-0.63319,0.17193
407,1,-0.047474,1.437,0.35649,-0.29955
407,2,1.6891,-2.2511,-0.85024,-0.63425
408,1,1.6245,0.55528,0.45816,0.25129
408,2,1.2411,0.70342,0.68398,-0.1785
409,1,0.50773,-0.39437,-0.08813,2.5318
409,2,-0.3099,-0.26974,0.0080293,-1.2232
410,1,-1.0718,-0.050611,0.32699,-1.1537
410,2,0.24606,-0.73015,0.75299,-0.40787
411,1,-1.2879,0.1638,-1.0864,-0.14331
411,2,0.083578,0.68257,0.29749,1.392
412,1,0.30675,-0.22893,1.439,-1.6068
412,2,-0.53718,-0.53622,-0.5111,-0.20124
413,1,1.1435,0.16408,-0.58771,-0.87183
413,2,0.66329,1.7854,0.25904,-0.78792
414,1,-0.34434,2.0541,-1.0711,-0.55444
414,2,0.64762,0.79894,-0.20516,-0.29294
415,1,1.1802,0.99157,-0.79289,-1.3504
415,2,0.3774,0.60345,0.93082,0.79979
416,1,0.59964,-1.4197,0.017913,0.87636
416,2,1.1004,-0.20364,0.10035,0.70069
417,1,0.65202,1.676,0.10115,-0.061528
417,2,0.17853,-0.3251,-0.57669,0.72559
418,1,-1.2273,-0.73482,-1.9654,1.6243
418,2,0.19093,0.78838,-1.9555,-0.14942
419,1,-1.9683,-0.086922,0.33755,0.33294
419,2,-1.6861,0.30739,1.067,-0.073484
420,1,1.0478,0.026693,1.0385,-1.4831
420,2,2.0589,-0.24052,-0.50723,-0.10649
421,1,0.24526,-1.1181,-0.67949,-0.1308
421,2,0.14579,-0.59694,0.95505,0.6494
422,1,0.59852,-1.9808,0.70395,-0.016917
422,2,-0.1925,0.36294,-0.7526,-0.44166
423,1,1.7013,0.20392,-0.73537,0.72859
423,2,-0.030569,-1.0478,-1.3566,0.60719
424,1,-0.82829,0.91914,1.9162,-0.091063
424,2,2.8876,0.40579,-2.4557,-0.02468
425,1,0.19994,0.52937,0.10742,-0.040993
425,2,-1.0383,-2.2171,0.43891,0.36431
426,1,-0.7637,-0.37464,-0.31023,-1.0246
426,2,0.54952,-1.6592,-0.61994,0.505
427,1,0.040473,-0.54774,1.173,0.086573
427,2,-0.25473,1.6766,-0.18906,1.5126
428,1,1.7933,-0.32585,0.75159,-1.0709
428,2,1.1026,-0.58281,-0.86373,-0.35524
429,1,0.95588,0.24494,0.23463,0.84209
429,2,0.15928,1.1247,-1.1386,0.47634
430,1,-0.08839,-0.54458,-0.80051,-1.4867
430,2,-0.41304,-0.024007,-0.51219,-0.51864
431,1,-0.69323,1.455,1.0468,0.54659
431,2,0.57765,1.0355,0.67621,0.74999
432,1,-0.72984,-1.1986,-0.83241,-0.45351
432,2,0.8332,0.61877,-0.97049,-1.3027
433,1,0.015975,-0.24937,0.16204,-0.15832
433,2,1.1107,0.4957,1.2118,0.29297
434,1,2.4677,-0.93384,-0.92423,0.28937
434,2,1.1462,1.1198,0.009907,0.87
435,1,-0.39726,1.7697,-1.0767,-0.29395
435,2,0.53786,-1.9055,1.1949,-0.038178
436,1,0.92393,-1.3019,-0.0775,0.10686
436,2,2.2231,-0.90899,0.00051045,-0.31246
437,1,1.2196,0.20398,0.3752,0.12055
437,2,-0.90956,0.98975,-0.62213,-0.3174
438,1,-0.59968,-0.19767,-0.75597,-1.4958
438,2,1.3532,-0.578,0.1212,-1.6462
439,1,0.1929,-0.39985,0.92215,-1.0096
439,2,-1.2898,0.7754,1.5445,0.85671
440,1,0.32529,0.22016,1.1394,-0.46107
440,2,1.2524,0.8152,-0.41171,-1.329
441,1,-0.0875,-0.74314,-0.3564,0.77933
441,2,0.35545,0.072031,-0.43169,0.81632
442,1,1.1483,-0.13612,-1.2935,0.23325
442,2,-1.085,0.65509,1.9267,-0.54502
443,1,1.0328,0.10926,-1.7654,-0.64563
443,2,0.37714,-0.68019,-0.96357,0.45253
444,1,0.6145,0.82818,-0.1255,0.89204
444,2,-0.7853,0.66742,-0.95123,-0.12972
445,1,-1.0135,0.52359,1.8664,-1.6352
445,2,0.25229,-1.4616,-2.1491,1.224
446,1,0.32517,0.011596,-0.86802,0.69732
446,2,-0.42891,0.73132,0.92816,-0.04515
447,1,0.19121,-0.85661,1.0285,-0.45162
447,2,-0.62876,-0.38871,-0.23972,-0.97927
448,1,-1.1334,1.0402,0.56018,-0.3676
448,2,0.022121,1.2315,-0.30904,0.36563
449,1,0.93744,-2.1189,-0.96678,1.7352
449,2,0.97424,-0.046465,-0.47125,-0.77753
450,1,-1.6838,-0.12448,0.87946,0.37592
450,2,0.17703,-0.41555,0.56613,-0.27695
451,1,0.3501,0.18608,0.33966,-0.53701
451,2,-0.29131,0.5766,-0.67283,-1.0402
452,1,0.99728,-0.657,-0.51083,1.5166
452,2,-0.026054,0.67775,0.446,0.93776
453,1,-0.16016,1.9371,0.30117,0.92484
453,2,-0.11384,-0.1708,0.32599,0.21529
454,1,0.36625,2.689,-0.87649,-1.6148
454,2,0.32215,0.87607,-1.2174,1.8401
455,1,-0.81893,0.53382,2.0229,1.8201
455,2,0.99214,-1.5267,0.5523,0.34264
456,1,0.17956,0.037599,-1.5211,0.16325
456,2,-1.0193,0.13712,-0.018918,-0.72115
457,1,0.4106,-0.57374,-0.6051,-0.36281
457,2,-1.2126,0.10539,0.42179,-0.87412
458,1,0.93159,0.57136,1.0094,0.033691
458,2,0.60004,0.68511,0.99087,-0.45027
459,1,-0.11066,-1.1979,1.0433,-0.49554
459,2,1.2379,-0.56439,0.846,-0.20682
460,1,-0.1558,-2.4432,0.30906,-1.4626
460,2,-0.2754,-0.42732,2.4516,-0.63554
461,1,-0.38547,-0.67377,-0.11242,0.53498
461,2,-0.94228,-1.9242,-0.51851,0.057408
462,1,1.0658,0.12185,0.24413,-0.095473
462,2,1.6207,-1.238,1.3983,0.38762
463,1,-0.96631,0.40383,-1.674,-1.0272
463,2,1.5092,-0.42214,-0.68763,-0.49256
464,1,0.34681,0.15563,0.37462,0.33271
464,2,0.82935,0.083714,2.6532,0.14077
465,1,1.5778,-0.67298,-0.35789,0.87625
465,2,0.089548,0.93189,0.2021,0.80795
466,1,-1.6033,-0.7017,0.23507,-0.15589
466,2,-2.3621,1.6519,-0.15175,1.0382
467,1,0.33048,-2.0905,0.019188,-0.022949
467,2,0.47581,-0.17403,-0.86003,-0.60232
468,1,0.8699,1.3047,0.89553,0.066827
468,2,-0.57081,-0.042644,2.2849,1.4946
469,1,-1.0725,-1.2084,-0.32684,-1.308
469,2,1.8233,-0.065392,-1.1492,0.64638
470,1,-1.3892,1.1289,0.37968,-0.19679
470,2,-1.3407,0.0016961,-0.90133,0.30694
471,1,0.16746,-0.62408,0.83222,-1.9737
471,2,1.7881,-0.14996,0.94809,-0.39188
472,1,-0.67671,0.51517,1.1409,0.31544
472,2,-0.016021,0.44483,0.44768,0.94559
473,1,0.42866,0.10982,1.1107,-0.54984
473,2,-1.3246,-1.6547,-2.1079,0.094261
474,1,-0.03822,0.055461,0.58702,0.54533
474,2,1.8829,-0.61389,-1.2067,0.25093
475,1,-0.39275,-1.1905,-0.42401,-0.71393
475,2,-0.62204,-1.8785,0.77724,1.5846
476,1,-0.88831,-0.69218,1.435,-0.75764
476,2,2.1408,0.099297,1.2334,0.73858
477,1,-1.1144,0.66116,-2.1381,1.3857
477,2,-1.7059,-1.7296,-0.060048,1.2178
478,1,-1.4951,0.80287,1.5607,0.8563
478,2,0.037283,0.97385,1.5862,-1.4245
479,1,0.039702,1.2331,-2.0015,-0.34282
479,2,-1.3799,1.7421,0.8355,-0.47796
480,1,-0.8891,0.3832,0.41725,-0.86952
480,2,1.2634,-0.11887,1.0132,-0.79468
481,1,0.6885,1.2502,-1.3318,-0.92656
481,2,1.5857,-0.1156,-2.3428,1.1296
482,1,-0.54913,0.21278,1.2511,-0.038897
482,2,0.28373,-2.2028,2.0247,0.99858
483,1,-0.75733,2.1232,-0.69994,0.053115
483,2,0.59615,1.3117,-1.0196,-0.23702
484,1,-0.062736,0.22114,-0.04296,0.7932
484,2,1.2711,1.664,-0.13324,0.42627
485,1,-0.2099,-1.1164,0.54346,0.11991
485,2,-1.5882,0.61686,-1.4679,0.52936
486,1,-1.1752,1.194,0.44653,-1.7913
486,2,-0.99822,-1.7537,0.97806,-0.13019
487,1,-1.1752,-0.42217,0.61797,-0.61844
487,2,0.089962,-1.6509,0.59616,0.52788
488,1,-1.3443,-1.1534,-0.52419,-0.071106
488,2,-1.2348,-0.10933,1.9113,0.56184
489,1,0.57407,0.19169,-1.1642,0.68633
489,2,0.37173,1.2441,1.6353,-1.1495
490,1,1.1102,1.7073,1.6394,-1.4635
490,2,1.1826,-0.42032,0.26347,-0.77617
491,1,0.92949,-1.1832,-0.65677,-0.89608
491,2,1.793,-0.11118,1.8797,1.3315
492,1,-0.62457,-1.3243,-2.2029,0.421
492,2,0.77668,1.5003,0.32251,-0.8207
493,1,-0.96646,-1.0362,-2.8198,-0.044753
493,2,0.60935,-0.028238,-2.081,1.118
494,1,-1.6495,0.49432,-0.023925,-1.4006
494,2,0.67867,-0.58847,2.1913,0.4801
495,1,0.20755,-0.0058805,-0.25134,-0.58402
495,2,0.32208,0.28139,-1.6935,0.23444
496,1,0.25879,2.221,0.68041,-0.037987
496,2,0.60366,-1.6541,0.13583,-0.69314
497,1,-0.12753,0.42621,0.90621,1.8942
497,2,0.68036,-1.6057,0.24951,-1.1124
498,1,-0.72204,0.0036123,-0.47897,-0.29466
498,2,-1.7522,0.99514,-0.5191,-0.16055
499,1,1.0235,-0.48266,-1.3644,-0.2065
499,2,0.015895,0.63467,0.59862,2.1394
500,1,-0.64881,0.11787,0.87553,-1.9461
500,2,0.42359,-1.0808,-2.2263,-1.3096
